#lambda_l=2.514809821559e-02, lambda_r=2.514809821559e-02
1.000000000000e+00 1.000000000000e+00
2.251609101995e-01 2.251609101995e-01
2.251601530500e-01 2.251601530500e-01
2.251553911406e-01 2.251553911406e-01
2.251546684570e-01 2.251546684570e-01
2.149006135336e-02 2.149006135336e-02
2.141375658420e-02 2.141375658420e-02
1.925033053480e-02 1.925033053480e-02
1.925014133998e-02 1.925014133998e-02
1.922564185991e-02 1.922564185991e-02
1.922562917778e-02 1.922562917778e-02
1.890666331179e-02 1.890666331179e-02
1.774777929278e-02 1.774777929278e-02
1.774378377752e-02 1.774378377752e-02
1.694344951133e-02 1.694344951133e-02
1.692154556810e-02 1.692154556810e-02
3.578605101003e-03 3.578605101003e-03
3.578371294758e-03 3.578371294758e-03
3.576661515414e-03 3.576661515414e-03
3.576549078959e-03 3.576549078959e-03
3.567708642053e-03 3.567708642053e-03
3.567509421841e-03 3.567509421841e-03
3.564815286388e-03 3.564815286388e-03
3.564695128944e-03 3.564695128944e-03
1.828623282535e-03 1.828623282535e-03
1.828430937788e-03 1.828430937788e-03
1.065627584003e-03 1.065627584003e-03
1.065619578835e-03 1.065619578835e-03
1.054898674749e-03 1.054898674749e-03
1.054893550053e-03 1.054893550053e-03
8.883211009090e-04 8.883211009090e-04
8.878831989246e-04 8.878831989246e-04
8.869523299965e-04 8.869523299965e-04
8.862540981515e-04 8.862540981515e-04
6.791425230463e-04 6.791425230463e-04
6.791002095852e-04 6.791002095852e-04
6.789876646354e-04 6.789876646354e-04
6.789032535307e-04 6.789032535307e-04
6.371879675962e-04 6.371879675962e-04
6.371347607749e-04 6.371347607749e-04
6.370674770393e-04 6.370674770393e-04
6.370620501747e-04 6.370620501747e-04
6.037351860296e-04 6.037351860296e-04
6.036871600212e-04 6.036871600212e-04
6.030491980113e-04 6.030491980113e-04
6.030485283802e-04 6.030485283802e-04
5.189830202602e-04 5.189830202602e-04
5.056774602971e-04 5.056774602971e-04
4.837451599476e-04 4.837451599476e-04
4.829340271314e-04 4.829340271314e-04
4.829331166978e-04 4.829331166978e-04
4.829331132213e-04 4.829331132213e-04
4.743066244571e-04 4.743066244571e-04
4.370409373123e-04 4.370409373123e-04
4.366832876242e-04 4.366832876242e-04
4.288201620368e-04 4.288201620368e-04
4.285696878587e-04 4.285696878587e-04
3.700967541394e-04 3.700967541394e-04
3.630203010407e-04 3.630203010407e-04
3.625122469605e-04 3.625122469605e-04
3.542390824167e-04 3.542390824167e-04
3.146040999854e-04 3.146040999854e-04
3.145165299571e-04 3.145165299571e-04
3.142955362450e-04 3.142955362450e-04
3.142170414694e-04 3.142170414694e-04
2.920354127721e-04 2.920354127721e-04
9.550335600702e-05 9.550335600702e-05
8.414267694473e-05 8.414267694473e-05
7.486381221388e-05 7.486381221388e-05
7.485889653303e-05 7.485889653303e-05
7.059852325759e-05 7.059852325758e-05
7.056797155210e-05 7.056797155210e-05
6.336393698137e-05 6.336393698137e-05
6.328950230945e-05 6.328950230945e-05
4.937655757164e-05 4.937655757164e-05
4.927275536280e-05 4.927275536280e-05
4.920224878477e-05 4.920224878477e-05
4.920020032284e-05 4.920020032284e-05
4.887966089959e-05 4.887966089959e-05
4.881932613814e-05 4.881932613814e-05
4.866530219914e-05 4.866530219914e-05
4.861019842625e-05 4.861019842625e-05
4.857992404202e-05 4.857992404202e-05
4.855025603379e-05 4.855025603379e-05
4.720475069365e-05 4.720475069365e-05
4.719953820516e-05 4.719953820516e-05
4.281677297614e-05 4.281677297614e-05
4.279428445586e-05 4.279428445586e-05
3.352211551535e-05 3.352211551535e-05
3.350586924358e-05 3.350586924358e-05
3.103386166441e-05 3.103386166441e-05
3.098742268309e-05 3.098742268309e-05
2.558443367567e-05 2.558443367567e-05
1.992433909114e-05 1.992433909114e-05
1.987519271985e-05 1.987519271985e-05
1.969953392519e-05 1.969953392519e-05
1.965921496722e-05 1.965921496722e-05
1.483525456101e-05 1.483525456101e-05
1.477383068436e-05 1.477383068436e-05
1.392317165625e-05 1.392317165625e-05
1.309629255819e-05 1.309629255819e-05
1.309370402237e-05 1.309370402237e-05
1.300604379453e-05 1.300604379453e-05
1.288700095006e-05 1.288700095006e-05
1.283843798706e-05 1.283843798706e-05
1.272563078488e-05 1.272563078488e-05
1.266699074533e-05 1.266699074533e-05
1.264912628280e-05 1.264912628280e-05
1.180385212281e-05 1.180385212281e-05
1.180207040298e-05 1.180207040298e-05
1.013564314060e-05 1.013564314060e-05
9.796272404642e-06 9.796272404642e-06
9.784798721724e-06 9.784798721723e-06
9.511338733410e-06 9.511338733410e-06
8.943257187758e-06 8.943257187759e-06
8.939326824911e-06 8.939326824911e-06
7.778035522753e-06 7.778035522753e-06
6.992530229118e-06 6.992530229118e-06
6.748776977225e-06 6.748776977225e-06
6.729307554907e-06 6.729307554907e-06
6.721164856194e-06 6.721164856194e-06
6.706105539422e-06 6.706105539422e-06
6.699948276217e-06 6.699948276217e-06
6.640156777201e-06 6.640156777200e-06
6.533716944271e-06 6.533716944271e-06
6.503601188090e-06 6.503601188090e-06
6.392791399750e-06 6.392791399749e-06
6.171967707129e-06 6.171967707129e-06
6.128698882239e-06 6.128698882239e-06
6.109491073233e-06 6.109491073233e-06
6.102814317567e-06 6.102814317567e-06
6.093319048708e-06 6.093319048708e-06
6.014152721843e-06 6.014152721843e-06
5.593925708931e-06 5.593925708931e-06
5.554271920307e-06 5.554271920307e-06
5.503165711257e-06 5.503165711257e-06
5.489665299617e-06 5.489665299617e-06
5.461098095373e-06 5.461098095373e-06
5.372826888973e-06 5.372826888973e-06
5.366636521252e-06 5.366636521253e-06
5.336175465880e-06 5.336175465880e-06
5.325596822804e-06 5.325596822803e-06
5.223901669609e-06 5.223901669609e-06
5.180762641479e-06 5.180762641479e-06
5.122473311303e-06 5.122473311303e-06
5.075420182343e-06 5.075420182343e-06
4.979190093287e-06 4.979190093287e-06
4.944824452322e-06 4.944824452322e-06
4.899202407061e-06 4.899202407061e-06
4.864622108503e-06 4.864622108503e-06
4.834552883518e-06 4.834552883518e-06
4.790830392829e-06 4.790830392829e-06
4.776128297820e-06 4.776128297820e-06
4.711534143360e-06 4.711534143359e-06
4.699787338194e-06 4.699787338194e-06
4.697557745443e-06 4.697557745443e-06
4.649446774875e-06 4.649446774875e-06
4.535172927010e-06 4.535172927010e-06
4.441244469454e-06 4.441244469454e-06
4.440747238809e-06 4.440747238809e-06
4.357236448280e-06 4.357236448280e-06
4.309405629617e-06 4.309405629617e-06
4.305780223514e-06 4.305780223514e-06
4.285065930766e-06 4.285065930766e-06
4.208669675333e-06 4.208669675333e-06
4.203404121699e-06 4.203404121699e-06
4.188640109442e-06 4.188640109442e-06
4.177319956566e-06 4.177319956566e-06
4.169718923722e-06 4.169718923722e-06
4.163977365757e-06 4.163977365757e-06
4.106585743146e-06 4.106585743146e-06
4.080845639296e-06 4.080845639295e-06
4.004412758038e-06 4.004412758038e-06
3.981050829030e-06 3.981050829030e-06
3.970370579484e-06 3.970370579484e-06
3.963758822400e-06 3.963758822400e-06
3.957022770432e-06 3.957022770432e-06
3.922869291983e-06 3.922869291982e-06
3.889622613788e-06 3.889622613788e-06
3.852548263015e-06 3.852548263015e-06
3.845833044495e-06 3.845833044494e-06
3.843525535305e-06 3.843525535305e-06
3.766703997044e-06 3.766703997044e-06
3.738362070811e-06 3.738362070811e-06
3.723925774602e-06 3.723925774602e-06
3.710487970773e-06 3.710487970773e-06
3.668277583180e-06 3.668277583180e-06
3.550724782721e-06 3.550724782721e-06
3.541746245984e-06 3.541746245984e-06
3.493326089312e-06 3.493326089312e-06
3.432977821360e-06 3.432977821360e-06
3.430364765718e-06 3.430364765718e-06
3.305585928211e-06 3.305585928211e-06
3.270443488938e-06 3.270443488938e-06
3.256567699801e-06 3.256567699801e-06
3.243394446514e-06 3.243394446514e-06
3.242842964275e-06 3.242842964275e-06
3.207711484672e-06 3.207711484672e-06
3.144291720271e-06 3.144291720271e-06
3.101271342844e-06 3.101271342844e-06
3.081659100725e-06 3.081659100725e-06
2.999778380527e-06 2.999778380527e-06
2.981369626071e-06 2.981369626071e-06
2.920674654236e-06 2.920674654236e-06
2.909410213704e-06 2.909410213704e-06
2.884234128186e-06 2.884234128186e-06
2.834808470808e-06 2.834808470808e-06
2.817533520540e-06 2.817533520540e-06
2.789311805373e-06 2.789311805373e-06
2.782572800786e-06 2.782572800786e-06
2.673519181203e-06 2.673519181204e-06
2.510654772712e-06 2.510654772711e-06
2.493483850439e-06 2.493483850439e-06
2.382366240776e-06 2.382366240776e-06
2.350165932189e-06 2.350165932189e-06
2.340261739092e-06 2.340261739091e-06
2.337833269209e-06 2.337833269209e-06
2.270971766385e-06 2.270971766385e-06
2.251566861999e-06 2.251566861999e-06
2.225830598091e-06 2.225830598091e-06
2.223531910177e-06 2.223531910177e-06
2.183830244440e-06 2.183830244440e-06
2.095668573941e-06 2.095668573941e-06
2.083836761580e-06 2.083836761580e-06
2.058502000797e-06 2.058502000796e-06
2.038666399232e-06 2.038666399232e-06
1.978711957707e-06 1.978711957707e-06
1.969867453831e-06 1.969867453831e-06
1.945152379854e-06 1.945152379854e-06
1.779965538453e-06 1.779965538452e-06
1.694186874146e-06 1.694186874146e-06
1.654856344484e-06 1.654856344484e-06
1.635055552022e-06 1.635055552022e-06
1.629310227412e-06 1.629310227412e-06
1.566279664152e-06 1.566279664152e-06
1.518645407581e-06 1.518645407581e-06
1.483358830416e-06 1.483358830416e-06
1.374280941802e-06 1.374280941802e-06
1.373611467774e-06 1.373611467774e-06
1.366632139652e-06 1.366632139651e-06
1.343672982841e-06 1.343672982840e-06
1.326215373622e-06 1.326215373621e-06
1.320748711083e-06 1.320748711082e-06
1.300334629174e-06 1.300334629174e-06
1.260968597009e-06 1.260968597009e-06
1.260215838803e-06 1.260215838802e-06
1.259894763577e-06 1.259894763576e-06
1.255765498343e-06 1.255765498342e-06
1.229640085496e-06 1.229640085495e-06
1.211056549824e-06 1.211056549823e-06
1.210555579564e-06 1.210555579563e-06
1.205679877288e-06 1.205679877288e-06
1.189017035976e-06 1.189017035975e-06
1.173660874038e-06 1.173660874037e-06
8.896829612578e-07 8.896829612578e-07
8.882365588966e-07 8.882365588965e-07
8.746850610603e-07 8.746850610603e-07
8.702683890032e-07 8.702683890031e-07
8.693943244323e-07 8.693943244323e-07
8.689650149867e-07 8.689650149867e-07
8.639197459056e-07 8.639197459056e-07
8.610005909928e-07 8.610005909928e-07
8.498092953799e-07 8.498092953788e-07
8.467157117906e-07 8.467157117900e-07
8.429210372938e-07 8.429210372938e-07
8.150270397403e-07 8.150270397403e-07
8.138062594876e-07 8.138062594876e-07
8.013385741825e-07 8.013385741825e-07
7.593503598873e-07 7.593503598867e-07
6.577206986814e-07 6.577206986803e-07
4.893514170915e-07 4.893514170915e-07
4.666682886309e-07 4.666682886310e-07
4.657702587320e-07 4.657702587320e-07
4.648445066045e-07 4.648445066046e-07
4.645136510970e-07 4.645136510971e-07
4.582964843432e-07 4.582964843433e-07
4.451354167032e-07 4.451354167043e-07
4.426137594772e-07 4.426137594775e-07
4.394237515488e-07 4.394237515494e-07
4.388464808452e-07 4.388464808432e-07
4.189201289478e-07 4.189201289476e-07
4.175651517477e-07 4.175651517474e-07
4.157061424153e-07 4.157061424155e-07
4.099419261927e-07 4.099419261926e-07
4.084394494366e-07 4.084394494366e-07
4.042662875821e-07 4.042662875821e-07
4.034172774411e-07 4.034172774411e-07
4.004041358237e-07 4.004041358237e-07
3.985666139443e-07 3.985666139443e-07
3.878322614412e-07 3.878322614410e-07
3.867671478466e-07 3.867671478464e-07
3.826279990698e-07 3.826279990698e-07
3.821333694776e-07 3.821333694774e-07
3.790984541343e-07 3.790984541343e-07
3.784411777115e-07 3.784411777112e-07
3.753496550334e-07 3.753496550334e-07
3.492741846647e-07 3.492741846647e-07
3.336605988232e-07 3.336605988133e-07
3.296484642920e-07 3.296484642914e-07
3.291196887530e-07 3.291196887525e-07
3.111865566301e-07 3.111865566313e-07
3.049937615628e-07 3.049937615630e-07
3.011000352436e-07 3.011000352435e-07
2.676569335505e-07 2.676569335504e-07
2.674772898038e-07 2.674772898037e-07
2.660685120033e-07 2.660685120031e-07
2.562059823913e-07 2.562059823919e-07
2.531080175202e-07 2.531080175215e-07
2.500831544435e-07 2.500831544433e-07
2.483355851857e-07 2.483355851857e-07
2.474091301559e-07 2.474091301558e-07
2.456445937182e-07 2.456445937182e-07
2.390891461766e-07 2.390891461766e-07
2.386764935745e-07 2.386764935746e-07
2.336122126067e-07 2.336122126064e-07
2.329451661457e-07 2.329451661457e-07
2.280330249006e-07 2.280330249005e-07
2.271247557429e-07 2.271247557428e-07
2.247220199979e-07 2.247220199980e-07
2.239092342439e-07 2.239092342439e-07
2.218780471162e-07 2.218780471162e-07
2.183724559899e-07 2.183724559899e-07
2.172080185974e-07 2.172080185977e-07
2.132569941957e-07 2.132569941957e-07
2.131186206349e-07 2.131186206349e-07
2.116607957778e-07 2.116607957778e-07
2.108556530897e-07 2.108556530897e-07
2.076568819783e-07 2.076568819783e-07
2.025710466100e-07 2.025710466100e-07
2.021202225789e-07 2.021202225790e-07
2.019743934936e-07 2.019743934937e-07
2.002182504624e-07 2.002182504625e-07
2.001312778874e-07 2.001312778876e-07
1.972507811700e-07 1.972507811701e-07
1.937755032351e-07 1.937755032351e-07
1.873213266188e-07 1.873213266191e-07
1.872399922945e-07 1.872399922950e-07
1.867488614550e-07 1.867488614557e-07
1.864693939304e-07 1.864693939306e-07
1.859912928560e-07 1.859912928566e-07
